country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-01-28,2019,1,28,0.73
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-02-03,2019,2,3,0.73
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-02-11,2019,2,11,0.75
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-03-01,2019,3,1,0.62
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-03-06,2019,3,6,0.57
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-03-11,2019,3,11,0.49
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2019-03-18,2019,3,18,0.33
Pakistan,Faisalabad,FAS,31.398,73.054,2014,2014-02-08,2014,2,8,0.79
Pakistan,Faisalabad,FAS,31.398,73.054,2014,2014-03-15,2014,3,15,0.7
Pakistan,Faisalabad,FAS,31.398,73.054,2015,2015-01-20,2015,1,20,0.69
Pakistan,Faisalabad,FAS,31.398,73.054,2015,2015-02-10,2015,2,10,0.79
Pakistan,Faisalabad,FAS,31.398,73.054,2015,2015-03-16,2015,3,16,0.48
Pakistan,Faisalabad,FAS,31.398,73.054,2016,2016-01-17,2016,1,17,0.76
Pakistan,Faisalabad,FAS,31.398,73.054,2016,2016-02-15,2016,2,15,0.78
Pakistan,Faisalabad,FAS,31.398,73.054,2016,2016-03-28,2016,3,28,0.61
Pakistan,Faisalabad,FAS,31.398,73.054,2017,2017-01-19,2017,1,19,0.73
Pakistan,Faisalabad,FAS,31.398,73.054,2017,2017-02-02,2017,2,2,0.8
Pakistan,Faisalabad,FAS,31.398,73.054,2017,2017-03-20,2017,3,20,0.63
Pakistan,Faisalabad,FAS,31.398,73.054,2018,2018-02-27,2018,2,27,0.85
Pakistan,Faisalabad,FAS,31.398,73.054,2018,2018-03-13,2018,3,13,0.75
Pakistan,Faisalabad,FAS,31.398,73.054,2018,2018-04-05,2018,4,5,0.35
Bangladesh,Jamalpur,JAM,24.934,89.916,2016,2016-01-21,2016,1,21,0.73
Bangladesh,Jamalpur,JAM,24.934,89.916,2016,2016-01-25,2016,1,25,0.72
Bangladesh,Jamalpur,JAM,24.934,89.916,2016,2016-01-30,2016,1,30,0.75
