country,location,loc_code,lat,lon,cycle,SowingDateQC,Days_To_Heading,Days_To_Maturity,ObsYield
Nepal,Bhairahawa,BHR,27.5,83.45,2019,2018-11-26,89,122,2.96685
Pakistan,Faisalabad,FAS,31.398,73.054,2014,2013-11-23,95,139,4.88205
Pakistan,Faisalabad,FAS,31.398,73.054,2015,2014-12-03,77,121,3.591
Pakistan,Faisalabad,FAS,31.398,73.054,2016,2015-12-07,89,133,2.86425
Pakistan,Faisalabad,FAS,31.398,73.054,2017,2016-11-21,94,138,3.933
Pakistan,Faisalabad,FAS,31.398,73.054,2018,2017-11-29,97,142,3.3345
Bangladesh,Jamalpur,JAM,24.934,89.916,2016,2015-12-05,70,104,2.0691
Bangladesh,Jamalpur,JAM,24.934,89.916,2017,2016-11-26,69,109,2.67615
Bangladesh,Jamalpur,JAM,24.934,89.916,2018,2017-11-29,75,110,2.16315
Bangladesh,Jamalpur,JAM,24.934,89.916,2019,2018-11-28,77,115,2.6505
Nepal,Kathmandu,KHU,27.654,85.325,2019,2018-11-29,117,160,5.0787
India,Ludhiana,LDH-NS,30.991,75.736,2014,2013-11-13,102,146,4.9077
India,Ludhiana,LDH-NS,30.991,75.736,2015,2014-11-13,102,143,4.5828
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-11-05,101,148,5.3352
India,Ludhiana,LDH-NS,30.991,75.736,2017,2016-11-07,106,149,5.814
India,Ludhiana,LDH-NS,30.991,75.736,2018,2017-11-11,105,145,6.0192
India,Ludhiana,LDH-NS,30.991,75.736,2019,2018-11-10,112,153,5.8653
India,Ludhiana,LDH-NS,30.991,75.736,2020,2019-11-05,109,156,6.8229
India,Ludhiana,LDH-NS,30.991,75.736,2021,2020-11-05,103,146,6.4125
USA,Arizona,ARZ,33.06,-111.98,2011,2010-12-15,111,149,6.36975
USA,Arizona,ARZ,33.06,-111.98,2012,2011-12-09,116,155,6.5664
China,Zhengzhou,ZHE,24.85,113.58,2016,2015-10-12,189,234,5.51475
China,Zhengzhou,ZHE,24.85,113.58,2017,2016-10-14,192,231,5.71995
USA,Colorado,COL,40.449,-104.64,2010,2009-11-11,194,230,6.07905
USA,Colorado,COL,40.449,-104.64,2011,2010-11-08,196,234,6.7887
India,Pusa,PUS-NS,25.958,85.67,2015,2014-11-17,83,120,4.09545
India,Pusa,PUS-NS,25.958,85.67,2016,2015-11-08,87,126,3.94155
India,Pusa,PUS-NS,25.958,85.67,2017,2016-11-16,83,126,5.4891
India,Pusa,PUS-NS,25.958,85.67,2018,2017-11-15,86,125,5.2497
India,Pusa,PUS-NS,25.958,85.67,2019,2018-11-13,83,131,6.0534
India,Pusa,PUS-NS,25.958,85.67,2020,2019-11-11,83,134,5.4036
India,Pusa,PUS-NS,25.958,85.67,2021,2020-11-14,75,127,4.74525
China,Shunyi,SHU,40.225,116.57,2017,2016-10-23,187,225,6.0192
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-05-13,110,164,3.7962
Australia,Riverton,RIV,-34.15,138.73,2019,2019-06-03,115,155,3.0609
Australia,Roseworthy,ROS,-34.533,138.75,2019,2019-05-23,107,147,3.56535
Mexico,Obregon,MXH1,27.395,-109.93,2017,2017-03-07,54,86,2.26575
Mexico,Obregon,MXH3,27.395,-109.93,2017,2017-03-08,53,81,1.5048
Mexico,Obregon,MXYP2,27.395,-109.93,2019,2018-12-05,77,123,5.0958
Mexico,Obregon,MXYP4,27.395,-109.93,2019,2018-12-03,77,126,5.5233
Iran,Karaj,SPII,35.833,50.967,2017,2016-11-09,165,220,6.878475
India,Ludhiana,LDH-LS,30.991,75.736,2017,2017-01-06,77,108,2.71035
India,Ludhiana,LDH-LS,30.991,75.736,2019,2018-12-19,95,127,3.4542
India,Ludhiana,LDH-LS,30.991,75.736,2021,2020-12-18,86,121,4.71105
India,Pusa,PUS-LS,25.958,85.67,2017,2016-12-15,79,98,2.55645
India,Pusa,PUS-LS,25.958,85.67,2018,2017-12-31,70,90,1.44495
India,Pusa,PUS-LS,25.958,85.67,2019,2018-12-26,72,107,3.10365
India,Ludhiana,LDH-NS,30.991,75.736,2022,2021-11-13,106,141,6.094
India,Ludhiana,LDH-LS,30.991,75.736,2022,2021-12-14,91,120,4.771
Spain,Spain,SPN,41.7,-4.717,2018,2017-11-02,196,242,8.348
